#,Entry Time,Exit Time,Side,Qty,Entry Price,Exit Price,Commission,PnL,PnL%,Hold Hours
104,2025-12-21 11:00,2025-12-23 14:00,SHORT,6850.542860960289,1.461000,1.484000,20.0173,-157.56,-1.57%,51.0
105,2025-12-23 15:00,2025-12-29 15:00,LONG,6630.579269562205,1.484000,1.571000,19.6796,576.86,5.86%,144.0
106,2025-12-29 16:00,2025-12-31 03:00,SHORT,6616.8257894544695,1.567000,1.635000,20.7371,-449.94,-4.34%,35.0
107,2025-12-31 04:00,2026-01-06 20:00,LONG,6067.747290834131,1.634000,1.879000,19.8294,1486.60,14.99%,160.0
108,2026-01-06 21:00,2026-01-11 10:00,SHORT,6056.088408539662,1.867000,1.773000,22.6134,569.27,5.03%,109.0
109,2026-01-11 11:00,2026-01-12 04:00,LONG,6715.834071498814,1.761000,1.722000,23.6532,-261.92,-2.21%,17.0
110,2026-01-12 05:00,2026-01-13 09:00,SHORT,6737.719628440089,1.716000,1.759000,23.1239,-289.72,-2.51%,28.0
111,2026-01-13 10:00,2026-01-15 10:00,LONG,6378.5187161694375,1.767000,1.719000,22.5417,-306.17,-2.72%,48.0
112,2026-01-15 11:00,2026-01-17 12:00,SHORT,6371.429289291705,1.720000,1.736000,21.9177,-101.94,-0.93%,49.0
113,2026-01-17 13:00,2026-01-18 16:00,LONG,6244.976982743079,1.735000,1.612000,21.6701,-768.13,-7.09%,27.0
114,2026-01-18 17:00,2026-01-21 17:00,SHORT,6256.484282607032,1.612000,1.572000,20.1709,250.26,2.48%,72.0
115,2026-01-21 18:00,2026-01-22 15:00,LONG,6575.390413936212,1.568000,1.541000,20.6204,-177.54,-1.72%,21.0
116,2026-01-22 16:00,2026-01-24 15:00,SHORT,6589.702690208056,1.537000,1.537000,20.2567,0.00,0.00%,47.0
117,2026-01-24 16:00,2026-01-25 06:00,LONG,6564.369562391926,1.540000,1.527000,20.2183,-85.34,-0.84%,14.0
118,2026-01-25 07:00,2026-01-27 16:00,SHORT,6550.558593110265,1.527000,1.519000,20.0054,52.40,0.52%,57.0
119,2026-01-27 17:00,2026-01-28 23:00,LONG,6618.689807229929,1.515000,1.508000,20.0546,-46.33,-0.46%,30.0
120,2026-01-29 00:00,2026-02-02 12:00,SHORT,6603.242469458163,1.509000,1.363000,19.9286,964.07,9.68%,108.0
121,2026-02-02 13:00,2026-02-05 03:00,LONG,7950.567434966258,1.367000,1.380000,21.7369,103.36,0.95%,62.0
122,2026-02-05 04:00,2026-02-06 15:00,SHORT,7943.2997047271765,1.378000,1.396000,21.8917,-142.98,-1.31%,35.0
123,2026-02-06 16:00,2026-02-09 00:00,LONG,7717.399699096579,1.399000,1.372000,21.5933,-208.37,-1.93%,56.0
124,2026-02-09 01:00,2026-02-12 01:00,SHORT,7783.6025044859025,1.360000,1.365000,21.1714,-38.92,-0.37%,72.0
125,2026-02-12 02:00,2026-02-15 14:00,LONG,7707.821008365852,1.365000,1.479000,21.0424,878.69,8.35%,84.0
126,2026-02-15 15:00,2026-02-22 14:00,SHORT,7710.688516895306,1.471000,1.348000,22.6848,948.41,8.36%,167.0
127,2026-02-22 15:00,2026-02-22 18:00,LONG,9082.107563512565,1.345000,1.313000,24.4309,-290.63,-2.38%,3.0
128,2026-02-22 19:00,2026-02-23 01:00,SHORT,9027.270815570133,1.321000,1.361000,23.8500,-361.09,-3.03%,6.0
129,2026-02-23 02:00,2026-02-24 01:00,LONG,8443.174035626449,1.367000,1.320000,23.0836,-396.83,-3.44%,23.0
130,2026-02-24 02:00,2026-02-27 00:00,SHORT,8416.66642589525,1.323000,1.318000,22.2705,42.08,0.38%,70.0
131,2026-02-27 01:00,2026-02-27 14:00,LONG,8500.83981580089,1.314000,1.293000,22.3402,-178.52,-1.60%,13.0
132,2026-02-27 15:00,2026-03-03 01:00,SHORT,8446.015615923403,1.299000,1.225000,21.9427,625.01,5.70%,82.0
133,2026-03-03 02:00,2026-03-06 10:00,LONG,9424.389654400045,1.225000,1.320000,23.0898,895.32,7.76%,80.0
134,2026-03-06 11:00,2026-03-07 03:00,SHORT,9366.1186032269,1.321000,1.341000,24.7453,-187.32,-1.51%,16.0
135,2026-03-07 04:00,2026-03-07 05:00,LONG,9137.387720770066,1.332000,1.332000,24.3420,0.00,0.00%,1.0
136,2026-03-07 06:00,2026-03-08 11:00,SHORT,9181.682311962537,1.324000,1.325000,24.3131,-9.18,-0.08%,29.0
137,2026-03-08 12:00,2026-03-08 19:00,LONG,9130.059201972792,1.328000,1.313000,24.2494,-136.95,-1.13%,7.0
138,2026-03-08 20:00,2026-03-09 04:00,SHORT,9110.55003592593,1.315000,1.348000,23.9607,-300.65,-2.51%,8.0
139,2026-03-09 05:00,2026-03-10 15:00,LONG,8716.604285568445,1.342000,1.319000,23.3954,-200.48,-1.71%,34.0
140,2026-03-10 16:00,2026-03-11 19:00,SHORT,8734.675140629779,1.313000,1.329000,22.9373,-139.75,-1.22%,27.0
141,2026-03-11 20:00,2026-03-12 13:00,LONG,8468.638200036616,1.335000,1.310000,22.6113,-211.72,-1.87%,17.0
142,2026-03-12 14:00,2026-03-15 18:00,SHORT,8453.716098061886,1.312000,1.319000,22.1826,-59.18,-0.53%,76.0
143,2026-03-15 19:00,2026-03-18 06:00,LONG,8287.380487512255,1.329000,1.293000,22.0279,-298.35,-2.71%,59.0
144,2026-03-18 07:00,2026-03-20 23:00,SHORT,8175.451506222593,1.310000,1.260000,21.4197,408.77,3.82%,64.0
145,2026-03-21 00:00,2026-03-22 13:00,LONG,8757.482256794248,1.265000,1.251000,22.1564,-122.60,-1.11%,37.0
146,2026-03-22 14:00,2026-03-23 03:00,SHORT,8724.411421905392,1.255000,1.295000,21.8983,-348.98,-3.19%,13.0
147,2026-03-23 04:00,2026-03-25 21:00,LONG,8119.90330558567,1.305000,1.307000,21.1929,16.24,0.15%,65.0
148,2026-03-25 22:00,2026-03-28 14:00,SHORT,8092.062039576755,1.307000,1.245000,21.1527,501.71,4.74%,64.0
149,2026-03-28 15:00,2026-03-29 14:00,LONG,8912.220633803829,1.238000,1.222000,22.0667,-142.60,-1.29%,23.0
150,2026-03-29 15:00,2026-04-01 09:00,SHORT,8929.86924331898,1.219000,1.229000,21.7710,-89.30,-0.82%,66.0
151,2026-04-01 10:00,2026-04-02 01:00,LONG,8785.58235198211,1.227000,1.217000,21.5598,-87.86,-0.81%,15.0
152,2026-04-02 02:00,2026-04-02 15:00,SHORT,8772.43068893458,1.217000,1.233000,21.3521,-140.36,-1.31%,13.0
153,2026-04-02 16:00,2026-04-04 05:00,LONG,8520.0723639944,1.235000,1.233000,21.0446,-17.04,-0.16%,37.0
154,2026-04-04 06:00,2026-04-05 00:00,SHORT,8490.148106603447,1.237000,1.249000,21.0046,-101.88,-0.97%,18.0
155,2026-04-05 01:00,2026-04-06 16:00,LONG,8268.845123767209,1.255000,1.232000,20.7548,-190.18,-1.83%,39.0
156,2026-04-06 17:00,2026-04-07 23:00,SHORT,8261.029016386206,1.231000,1.268000,20.3387,-305.66,-3.01%,30.0
157,2026-04-08 00:00,2026-04-08 20:00,LONG,7738.872650984271,1.274000,1.223000,19.7186,-394.68,-4.00%,20.0
158,2026-04-08 21:00,2026-04-09 10:00,SHORT,7658.33644926771,1.237000,1.264000,18.9467,-206.78,-2.18%,13.0
159,2026-04-09 11:00,2026-04-13 08:00,LONG,7267.437029290944,1.273000,1.430000,18.5029,1140.99,12.33%,93.0
160,2026-04-13 09:00,2026-04-14 03:00,SHORT,7244.900064017422,1.424000,1.438000,20.6335,-101.43,-0.98%,18.0
161,2026-04-14 04:00,2026-04-14 07:00,LONG,7133.52455501719,1.429000,1.408000,20.3876,-149.80,-1.47%,3.0
162,2026-04-14 08:00,2026-04-15 23:00,SHORT,7217.146283765716,1.391000,1.407000,20.0781,-115.47,-1.15%,39.0
163,2026-04-16 00:00,2026-04-17 18:00,LONG,7048.482191086766,1.406000,1.403000,19.8203,-21.15,-0.21%,42.0
164,2026-04-17 19:00,2026-04-20 13:00,SHORT,7075.901089753454,1.396000,1.336000,19.7559,424.55,4.30%,66.0
165,2026-04-20 14:00,2026-04-22 20:00,LONG,7636.090807672137,1.344000,1.353000,20.5258,68.72,0.67%,54.0
166,2026-04-22 21:00,2026-04-24 23:00,SHORT,7647.065494742497,1.349000,1.355000,20.6318,-45.88,-0.44%,50.0
167,2026-04-25 00:00,2026-04-25 13:00,LONG,7588.7065637403275,1.352000,1.316000,20.5199,-273.19,-2.66%,13.0
168,2026-04-25 14:00,2026-04-29 00:00,SHORT,7595.715008368719,1.315000,1.324000,19.9767,-68.36,-0.68%,82.0
169,2026-04-29 01:00,2026-05-01 20:00,LONG,7480.454475893428,1.325000,1.321000,19.8232,-29.92,-0.30%,67.0
170,2026-05-01 21:00,2026-05-02 07:00,SHORT,7461.9784328644955,1.321000,1.334000,19.7145,-97.01,-0.98%,10.0
171,2026-05-02 08:00,2026-05-08 15:00,LONG,7306.059162898659,1.334000,2.518000,19.4926,8650.37,88.76%,151.0
172,2026-05-08 16:00,2026-05-11 22:00,SHORT,6987.669895748856,2.568000,2.432000,35.8887,950.32,5.30%,78.0
173,2026-05-11 23:00,2026-05-12 08:00,LONG,7663.518751216375,2.455000,2.306000,37.6279,-1141.86,-6.07%,9.0
174,2026-05-12 09:00,2026-05-12 10:00,SHORT,7587.695430045329,2.332000,2.337000,35.3890,-37.94,-0.21%,1.0
175,2026-05-12 11:00,2026-05-17 15:00,SHORT,7580.56283316484,2.325000,1.918000,35.2496,3085.29,17.51%,124.0
176,2026-05-17 16:00,2026-05-20 00:00,LONG,10596.642032214851,1.939000,1.953000,41.0938,148.35,0.72%,56.0
177,2026-05-20 01:00,2026-05-20 12:00,SHORT,10616.279870880722,1.945000,2.062000,41.2973,-1242.10,-6.02%,11.0
178,2026-05-20 13:00,2026-05-22 05:00,LONG,9454.449382678667,2.056000,1.992000,38.8767,-605.08,-3.11%,40.0
179,2026-05-22 06:00,2026-05-25 04:00,SHORT,9591.022588501415,1.963000,1.811000,37.6544,1457.84,7.74%,70.0
